1,	TEL 101,		Prerequisite(s): Mary Lou Fulton Teachers College freshmen
2,	TEL 102,		Prerequisite(s): Teachers College student
3,	TEL 111,		
4,	TEL 194,		
5,	TEL 200,		
6,	TEL 201,		Prerequisite(s): Teachers College student
7,	TEL 202,		Prerequisite(s): Teachers College student
8,	TEL 203,		
9,	TEL 208,		
10,	TEL 212,		Credit is allowed for only MCE 230 or TEL 212
11,	TEL 215,		
12,	TEL 294,		
13,	TEL 300,		Prerequisite(s): TEL 200
14,	TEL 311,		Prerequisite(s): admission to the Professional Program
15,	TEL 313,		Prerequisite(s): General Studies CS course
16,	TEL 315,		
17,	TEL 316,		Pre-requisites: Education majors; Minimum junior standing
18,	TEL 320,		Prerequisite(s): admission to the Professional Program
19,	TEL 394,		
20,	TEL 400,		Prerequisite(s): TEL 200, 300
21,	TEL 404,		Prerequisite(s): minimum 45 hours; Credit is allowed for only TEL 404 or TEL 494 (Current Issues in Education &amp; Policy Reform in US)
22,	TEL 405,		Prerequisite(s): minimum 45 hours; Credit is allowed for only TEL 405 or TEL 494 (History of Education &amp; Policy Reform in the US)
23,	TEL 410,		Prerequisite(s): TEL 200; TEL 300; TEL 400
24,	TEL 420,		Prerequisite(s): admission to the Professional Program
25,	TEL 430,		Pre-requisite: Minimum 45 hours; Credit is allowed for only TEL 430 or 494 (Learning Outside of School)
26,	TEL 431,		Pre-requisite: Minimum 45 hours; Credit is allowed for only TEL 431 or 494 (Learning in Workplaces)
27,	TEL 489,		Prerequisite(s): minimum 45 hours; Credit is allowed for only TEL 489 or TEL 494 (Undergrad Projects &amp; Research in ED)
28,	TEL 492,		Prerequisite(s): Barrett Honors student
29,	TEL 493,		Prerequisite(s): Barrett Honors student
30,	TEL 494,		
31,	TEL 499,		
32,	TEL 501,		Prerequisite(s): degree- or nondegree-seeking graduate student; Credit is allowed for only COE 501 or ECD 503 or PPE 501 or SPE 501 or TEL 501
33,	TEL 504,		Prerequisite(s): degree- or nondegree-seeking graduate student; Credit is allowed for only ECD 504 or TEL 504
34,	TEL 505,		Prerequisite(s): degree- or nondegree-seeking graduate student
35,	TEL 595,		Pre-requisites: Graduate student (degree seeking or nondegree seeking)
36,	TEL 683,		Pre-requisites: Graduate student (degree seeking or nondegree seeking)
37,	TEL 691,		
38,	TEL 700,		Prerequisite(s): degree- or nondegree-seeking graduate student
39,	TEL 701,		Prerequisite(s): Leadership and Innovation EdD student; Credit is allowed for only EDA 701 or TEL 701
40,	TEL 702,		Prerequisite(s): Leadership and Innovation EdD student; Credit is allowed for only EDA 702 or TEL 702
41,	TEL 703,		Prerequisite(s): Leadership and Innovation EdD student; Credit is allowed for only EDA 703 or TEL 703
42,	TEL 704,		Prerequisite(s): Leadership and Innovation EdD student; Credit is allowed for only EDA 704 or TEL 704
43,	TEL 705,		Prerequisite(s): Leadership and Innovation EdD student
44,	TEL 706,		Pre-requisites: Leadership and Innovation EdD major; Credit is allowed for only TEL 598 (Introduction to Doctoral Studies) or 706
45,	TEL 707,		Prerequisite(s): Leadership and Innovation EdD student
46,	TEL 711,		Prerequisite(s): Leadership and Innovation EdD student
47,	TEL 712,		Prerequisite(s): Leadership and Innovation EdD student
48,	TEL 713,		Prerequisite(s): Leadership and Innovation EdD student
49,	TEL 780,		Prerequisite(s): degree- or nondegree-seeking graduate student
50,	TEL 783,		Pre-requisites: Graduate student (degree seeking or nondegree seeking)
51,	TEL 790,		Pre-requisites: Graduate student (degree seeking or nondegree seeking)
52,	TEL 791,		Prerequisite(s): degree- or nondegree-seeking graduate student
53,	TEL 792,		Prerequisite(s): degree- or nondegree-seeking graduate student
54,	TEL 793,		Pre-requisites: Graduate student (degree seeking or nondegree seeking)
55,	TEL 799,		Prerequisite(s): degree- or nondegree-seeking graduate student
1,	MCE 447,		Prerequisite(s): admission to the Professional Program
2,	MCE 494,		
1,	ASM 104,		
2,	ASM 194,		
3,	ASM 201,		Credit is allowed for only ASM 201 or SSH 201
4,	ASM 246,		
5,	ASM 275,		
6,	ASM 294,		
7,	ASM 300,		Prerequisite(s): Anthropology BS major; Two of the following: ASB 102, 222 or 223, AML 100 or ASM 104 with a C or better
8,	ASM 301,		Pre-requisite: ASM 104
9,	ASM 313,		Prerequisite(s): minimum 45 hours; Credit is allowed for only ASM 313 or ASM 394 (Great Adaptations)
10,	ASM 332,		Prerequisite(s): ENG 101, 105, 107, or 111 with C or better; Credit is allowed for only AFR 332 (or AFS 332) or ASM 332
11,	ASM 338,		
12,	ASM 341,		Prerequisite(s): ASM 104 with C or better; 25 minimum hours
13,	ASM 342,		Prerequisite(s) with C or better: ASM 104 (or BIO 181 or 282). Credit is allowed for only ASM 342 or BIO 327
14,	ASM 344,		Pre-requisite: ASM 104
15,	ASM 345,		Prerequisite(s): ASM 104 or BIO 100 or BIO 181 (or BIO 188) or BIO 182 (or BIO 187) or BIO 281 or BIO 282
16,	ASM 350,		Prerequisite(s): ASB 222 or 223, GLG 101 or 103, or GPH 111 with C or better
17,	ASM 365,		Prerequisite(s): ASB 222 (or ASB 223 or 335 or 337)
18,	ASM 394,		
19,	ASM 401,		Pre-requisites: ASB 100 (or ASM 104); SSH 100; Credit is allowed for only ASM or SSH 401
20,	ASM 414,		Prerequisite(s): ASB 100, 102, 222, 223, AML 100, ASM 104, SOS 100, 110, 111, or SSH 100 with C or better; minimum 45 hours; Credit is allowed for only ASM 414 or SOS 414 or SSH 414
21,	ASM 443,		Prerequisite(s): ASM 104 with C or better; Minimum 56 hours. Credit is allowed for only ASM 443 or 543
22,	ASM 446,		Prerequisite(s): ASM 301 or BIO 340 or LSC 347 or MBB 347 with C or better; Credit is allowed for only ASM 446 or ASM 546 or BIO 446 or BIO 546
23,	ASM 450,		Prerequisite(s): ASM 104
24,	ASM 452,		Pre-requisites: ASM 104. Credit is allowed for only ASM 552 or ASM 452
25,	ASM 456,		Pre-requisite: ASM 345
26,	ASM 459,		Pre-requisite: ASM 341; ASM 275; Credit is allowed for only ASM 459 or 559
27,	ASM 460,		Prerequisite(s): ASM 104 with C or better; ASM 341, 342, 344, 345, or 348
28,	ASM 465,		
29,	ASM 494,		
30,	ASM 506,		Pre-requisites: Graduate student (degree seeking or nondegree seeking); Credit is allowed for only BIO 506, ASM 506 or MCB 506
31,	ASM 525,		Pre-requisites: Graduate student (degree seeking or nondegree seeking)
